Date,Price,Before_1Days,Before_2Days,Before_3Days,Before_4Days,Before_5Days,Before_6Days,Before_7Days,Before_8Days,Before_9Days,Before_10Days,Before_11Days,Before_12Days,Before_13Days,Before_14Days,Before_15Days,Before_16Days,Before_17Days,Before_18Days,Before_19Days,Before_20Days,Before_21Days,Before_22Days,Before_23Days,Before_24Days,Before_25Days,Before_26Days,Before_27Days,Before_28Days,Before_29Days,Before_30Days
2000.05.28,0.009043478,0.001393243,-0.01,-0.027661358,0.021754025,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.6395
2000.05.21,0.001393243,-0.01,-0.027661358,0.021754025,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,0.6392
2000.05.14,-0.01,-0.027661358,0.021754025,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.6491
2000.05.07,-0.027661358,0.021754025,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,0.6477
2000.04.30,0.021754025,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,0.6548
2000.04.23,-0.018823529,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.6561
2000.04.16,-0.005016722,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.6509
2000.04.09,-0.001669449,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,0.6468
2000.04.02,-0.014802632,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.6515
2000.03.26,0,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.6469
2000.03.19,0.001647446,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,0.6319
2000.03.12,-0.012847617,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,0.636
2000.03.05,0.010517666,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,0.6525
2000.02.27,-0.010729963,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.6534
2000.02.20,-0.022875298,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.6517
2000.02.13,-0.003955696,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,0.6485
2000.02.06,-0.010490058,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,0.6608
2000.01.30,0.005668399,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,0.6663
2000.01.23,-0.041503169,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.6685
2000.01.16,-0.005403783,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.6618
2000.01.09,0.017099237,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,0.6525
2000.01.02,-0.003802281,0.021756022,0.000777605,0.012120258,0.004426877,-0.004093843,-0.00765625,-0.008366904,0.009225958,0.000469337,-0.015251887,0.002161495,-0.010843005,-0.001981405,0.007988938,0.006338899,-0.007214121,0.007110836,0.023737933,-0.006446541,-0.025287356,-0.00137741,0.002608562,0.004934464,-0.018613801,-0.00825454,-0.00329095,0.010123905,0.014252874,-0.019975969,0.6658
