Date,Price
2013.02.03,1.03167
2013.01.27,1.04041
2013.01.20,1.04229
2013.01.13,1.05073
2013.01.06,1.05341
2012.12.30,1.04792
2012.12.23,1.03717
2012.12.16,1.04019
2012.12.09,1.0564
2012.12.02,1.04843
2012.11.25,1.04253
2012.11.18,1.0459
2012.11.11,1.03386
2012.11.04,1.03836
2012.10.28,1.03355
2012.10.21,1.03636
2012.10.14,1.0315
2012.10.07,1.02539
2012.09.30,1.01555
2012.09.23,1.03764
2012.09.16,1.04556
2012.09.09,1.05489
2012.09.02,1.03834
2012.08.26,1.03205
2012.08.19,1.04025
2012.08.12,1.04173
2012.08.05,1.05748
2012.07.29,1.05666
2012.07.22,1.04822
2012.07.15,1.03759
2012.07.08,1.02247
2012.07.01,1.02104
2012.06.24,1.02409
2012.06.17,1.00623
2012.06.10,1.00714
2012.06.03,0.99147
2012.05.27,0.96952
2012.05.20,0.97563
2012.05.13,0.98409
2012.05.06,1.00176
2012.04.29,1.01784
2012.04.22,1.04701
2012.04.15,1.03781
2012.04.08,1.03709
2012.04.01,1.03024
2012.03.25,1.03342
2012.03.18,1.0466
2012.03.11,1.05882
2012.03.04,1.05739
2012.02.26,1.07306
2012.02.19,1.06925
2012.02.12,1.06985
2012.02.05,1.06717
2012.01.29,1.07692
2012.01.22,1.06547
2012.01.15,1.04826
2012.01.08,1.0327
2012.01.01,1.02265
2011.12.25,1.02066
2011.12.18,1.01463
2011.12.11,0.99805
2011.12.04,1.02146
2011.11.27,1.02126
2011.11.20,0.97095
2011.11.13,1.00064
2011.11.06,1.02731
2011.10.30,1.04072
2011.10.23,1.07067
2011.10.16,1.03735
2011.10.09,1.03386
2011.10.02,0.97673
2011.09.25,0.96601
2011.09.18,0.97775
2011.09.11,1.036
2011.09.04,1.04696
2011.08.28,1.06423
2011.08.21,1.05705
2011.08.14,1.04049
2011.08.07,1.03535
2011.07.31,1.04405
2011.07.24,1.09929
2011.07.17,1.08498
2011.07.10,1.0639
2011.07.03,1.07528
2011.06.26,1.07679
2011.06.19,1.04885
2011.06.12,1.06215
2011.06.05,1.05351
2011.05.29,1.07148
2011.05.22,1.0688
2011.05.15,1.0658
2011.05.08,1.05706
2011.05.01,1.06985
2011.04.24,1.09688
2011.04.17,1.07338
2011.04.10,1.05649
2011.04.03,1.0565
2011.03.27,1.03844
2011.03.20,1.02581
2011.03.13,0.99567
2011.03.06,1.01359
2011.02.27,1.01367
2011.02.20,1.01743
2011.02.13,1.01441
2011.02.06,1.002
2011.01.30,1.01359
2011.01.23,0.99377
2011.01.16,0.98949
2011.01.09,0.98858
2011.01.02,0.99559
2010.12.26,1.02299
2010.12.19,1.0045
2010.12.12,0.98796
2010.12.05,0.98519
2010.11.28,0.99292
2010.11.21,0.96436
2010.11.14,0.98633
2010.11.07,0.98457
2010.10.31,1.01552
2010.10.24,0.98479
2010.10.17,0.98254
2010.10.10,0.99055
2010.10.03,0.98477
2010.09.26,0.9726
2010.09.19,0.95892
2010.09.12,0.93602
2010.09.05,0.92634
2010.08.29,0.9164
2010.08.22,0.89883
2010.08.15,0.89373
2010.08.08,0.89267
2010.08.01,0.91812
2010.07.25,0.90424
2010.07.18,0.8954
2010.07.11,0.86876
2010.07.04,0.8774
2010.06.27,0.84148
2010.06.20,0.87377
2010.06.13,0.87179
2010.06.06,0.85013
2010.05.30,0.82316
2010.05.23,0.84719
2010.05.16,0.83231
2010.05.09,0.88565
2010.05.02,0.88776
2010.04.25,0.92411
2010.04.18,0.92762
2010.04.11,0.92402
2010.04.04,0.93592
2010.03.28,0.92
2010.03.21,0.9052
2010.03.14,0.91503
2010.03.07,0.91723
2010.02.28,0.90816
2010.02.21,0.89595
2010.02.14,0.90109
2010.02.07,0.88822
2010.01.31,0.86728
2010.01.24,0.87976
2010.01.17,0.90038
2010.01.10,0.92065
2010.01.03,0.92884
2009.12.27,0.8984
2009.12.20,0.88257
2009.12.13,0.8899
