Date,Time,Open,Highest,Lowest,Adjust,Volume,Rate_high,Rate_low
2010.04.04,0:00,0.92001,0.93592,0.91636,0.93592,220377,0.01729329,-0.003967348
2010.04.11,0:00,0.9382,0.9387,0.92217,0.92402,253820,0.000532935,-0.017085909
2010.04.18,0:00,0.9211,0.93362,0.91556,0.92762,304224,0.013592444,-0.006014548
2010.04.25,0:00,0.9257,0.93225,0.91339,0.92411,313202,0.007075726,-0.013298045
2010.05.02,0:00,0.92343,0.92734,0.87096,0.88776,441383,0.004234214,-0.056820766
2010.05.09,0:00,0.90108,0.90766,0.88488,0.88565,423407,0.007302348,-0.017978426
2010.05.16,0:00,0.8849,0.88603,0.80708,0.83231,575849,0.00127698,-0.08794214
2010.05.23,0:00,0.83159,0.85494,0.80645,0.84719,525242,0.028078741,-0.030231244
2010.05.30,0:00,0.84545,0.85204,0.82112,0.82316,436165,0.007794666,-0.028777574
2010.06.06,0:00,0.81992,0.85075,0.80806,0.85013,521865,0.037601229,-0.014464826
2010.06.13,0:00,0.85296,0.87285,0.8504,0.87179,393787,0.023318796,-0.003001313
2010.06.20,0:00,0.88162,0.88575,0.85938,0.87377,387091,0.004684558,-0.025226288
2010.06.27,0:00,0.87333,0.87749,0.83141,0.84148,388709,0.004763377,-0.048000183
2010.07.04,0:00,0.84173,0.8789,0.83152,0.8774,366093,0.044159053,-0.01212978
2010.07.11,0:00,0.87736,0.88691,0.86801,0.86876,378308,0.010884928,-0.010656971
2010.07.18,0:00,0.86613,0.89691,0.86315,0.8954,395189,0.03553739,-0.003440592
2010.07.25,0:00,0.89559,0.90671,0.89037,0.90424,365700,0.012416396,-0.00582856
2010.08.01,0:00,0.90537,0.92199,0.90435,0.91812,311374,0.018357136,-0.001126611
2010.08.08,0:00,0.91897,0.92037,0.89123,0.89267,345918,0.001523445,-0.030185969
2010.08.15,0:00,0.89297,0.90776,0.88395,0.89373,314731,0.016562706,-0.010101123
2010.08.22,0:00,0.88633,0.89969,0.87694,0.89883,310484,0.015073393,-0.010594248
2010.08.29,0:00,0.9019,0.91737,0.88588,0.9164,287989,0.017152678,-0.017762501
2010.09.05,0:00,0.91528,0.92753,0.90903,0.92634,279691,0.013383883,-0.006828511
2010.09.12,0:00,0.92945,0.94666,0.92867,0.93602,348501,0.018516327,-0.000839206
2010.09.19,0:00,0.93765,0.96129,0.93598,0.95892,360859,0.025211966,-0.001781048
2010.09.26,0:00,0.9609,0.97482,0.95574,0.9726,369003,0.014486419,-0.005369966
2010.10.03,0:00,0.97285,0.99154,0.95398,0.98477,358140,0.019211595,-0.019396618
2010.10.10,0:00,0.98948,1.00011,0.97649,0.99055,334623,0.010743017,-0.013128108
2010.10.17,0:00,0.99264,0.99573,0.96603,0.98254,433642,0.003112911,-0.026807302
2010.10.24,0:00,0.98705,0.99721,0.96503,0.98479,425768,0.010293298,-0.0223089
2010.10.31,0:00,0.98473,1.0181,0.98128,1.01552,339330,0.033887462,-0.003503498
2010.11.07,0:00,1.01517,1.01717,0.98237,0.98457,476739,0.001970113,-0.032309859
2010.11.14,0:00,0.98885,0.99178,0.97233,0.98633,406282,0.002963038,-0.016706275
2010.11.21,0:00,0.98739,0.99523,0.96109,0.96436,397884,0.007940125,-0.026635878
2010.11.28,0:00,0.96812,0.9936,0.95354,0.99292,485947,0.026319051,-0.015060117
2010.12.05,0:00,0.98988,0.99633,0.97509,0.98519,412563,0.006515941,-0.014941205
2010.12.12,0:00,0.98388,1.00268,0.98294,0.98796,340700,0.019108021,-0.000955401
2010.12.19,0:00,0.98859,1.00637,0.98613,1.0045,240568,0.017985211,-0.002488393
2010.12.26,0:00,1.00044,1.02749,0.99862,1.02299,219989,0.027038103,-0.0018192
2011.01.02,0:00,1.0202,1.02232,0.99059,0.99559,354232,0.002078024,-0.029023721
2011.01.09,0:00,0.99264,1.00181,0.98025,0.98858,429700,0.009237992,-0.012481867
2011.01.16,0:00,0.99063,1.00751,0.98305,0.98949,384065,0.017039662,-0.007651696
2011.01.23,0:00,0.98787,1.00198,0.98622,0.99377,407981,0.014283256,-0.00167026
2011.01.30,0:00,0.98903,1.01983,0.98652,1.01359,349713,0.031141624,-0.00253784
2011.02.06,0:00,1.01312,1.01874,0.99587,1.002,332327,0.00554722,-0.017026611
